scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
labeled-data,669.8550021,252.35008,769.5968196,276.4634865,834.2645914,290.7123175,507.6375406,270.9831668,418.8563624,285.2319979,373.9177413,363.0525368,656.7022349,438.6809479,598.6108467,440.8730758,608.4754221,544.999149,790.4220343,544.999149,497.7729611,641.4527768,895.6441672,675.4307586
labeled-data,697.2565961,260.0225296,721.3700026,291.8083835,825.4960758,321.4021096,598.6108425,277.5595525,494.4847693,263.3107214,517.5021118,219.4681643,710.4093633,478.1392514,701.6408518,475.9471236,666.5668061,611.8590508,859.4740576,575.6889411,530.654879,633.7803293,856.1858658,753.2512976
labeled-data,706.0251076,302.7690228,663.2786143,403.6069043,776.173199,405.7990321,657.7982947,291.8083835,605.1872261,287.4241278,599.7069065,215.0839085,727.9463861,493.4841464,747.6755369,484.715635,676.4313815,608.570859,857.2819297,578.9771329,553.6722215,626.1078818,872.6268247,760.9237451
labeled-data,690.6802126,330.1706211,640.2612718,455.1219089,754.2519204,452.9297811,709.3132993,296.1926393,701.6408518,283.0398721,653.414039,215.0839085,723.5621304,503.3487218,754.2519204,494.5802104,696.1605322,604.1866032,852.897674,585.5535165,566.8249886,616.2433065,878.1071444,758.7316172
labeled-data,678.6235093,367.4367946,649.0297833,495.6762743,745.483409,496.7723382,770.6928794,270.9831689,834.2645872,230.4288035,775.0771351,181.1059267,741.0991533,493.4841464,749.8676647,497.8684022,724.6581943,609.6669229,841.9370347,593.225964,595.3226508,600.8984115,885.7795919,760.9237451
labeled-data,677.5274454,368.5328586,662.1825504,417.8557354,688.4880847,480.3313793,850.7055462,376.2053061,890.1638476,469.37074,879.2032083,584.4574525,757.5401122,461.6982925,821.1118201,455.1219089,841.9370347,603.0905393,803.5747972,598.7062836,719.1778747,578.9771329,864.9543772,755.4434254
labeled-data,695.0644683,304.9611507,675.3353176,322.4981736,662.1825504,366.3407307,802.4787333,418.9517993,794.8062858,472.6589318,715.8896829,423.336055,795.9023497,458.4101007,878.1071444,432.1045664,906.6048065,532.9424479,823.3039479,581.1692607,870.4346969,424.4321189,867.1465051,747.7709779
labeled-data,676.4313815,303.8650868,715.8896829,370.7249864,673.1431897,386.0698814,796.9984136,390.4541371,804.6708611,466.0825482,736.7148976,438.68095,799.1905415,451.8337172,863.8583133,427.7203107,921.9497015,518.6936168,830.9763954,578.9771329,874.8189526,414.5675436,868.242569,747.7709779
labeled-data,668.758934,291.8083835,715.8896829,354.2840275,689.5841486,389.3580732,795.9023497,338.9391325,836.4567151,449.6415893,776.173199,516.5014889,801.3826694,441.9691418,883.587464,401.4147764,977.8489619,481.4274432,837.552779,589.9377722,1010.73088,359.7643471,874.8189526,746.674914
labeled-data,645.7415915,279.7516803,676.4313815,340.0351964,659.9904225,379.4934979,800.2866054,255.6382739,873.7228887,365.2446668,880.2992722,454.025845,804.6708611,432.1045664,857.2819297,381.6856257,1034.844286,446.3533975,840.8409708,586.6495804,1160.891655,456.217975,881.3953529,745.5788522
labeled-data,635.8770328,266.5989153,669.8550146,358.6682853,664.374695,375.1092442,792.6141747,182.2019928,893.4520561,232.6209335,914.2772707,219.4681663,781.6535354,412.3754178,855.0898186,367.4367967,996.4820654,484.7156371,836.4567318,585.5535186,1142.258568,596.5141578,886.8756725,748.8670439
labeled-data,644.6455443,251.2540203,658.8943753,346.6115821,670.9510786,377.3013721,794.8063025,170.1452895,905.5087593,201.9311435,913.1812068,165.7610338,783.8456632,409.087226,853.9937547,365.2446689,955.9277,504.4447878,835.3606679,586.6495825,1067.726221,641.4527789,882.4914168,754.3473636
