scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
labeled-data,967.7435699,309.5355895,830.1611257,284.8939577,762.3966382,338.2841599,1105.326014,321.8564054,1164.876624,295.1613043,1267.55009,330.0702827,895.8721438,562.1123155,1014.973364,576.4866007,1125.860707,794.1543484,737.7550064,654.5184348,1292.191722,829.0633267,665.8835803,857.8118972
labeled-data,899.9790825,305.4286508,819.8937791,336.2306906,727.4876598,369.0861997,1053.989281,330.0702827,1136.128054,321.8564054,1197.732133,280.787019,865.0701041,578.54007,975.9574472,588.8074166,1088.89826,804.4216949,696.6856201,662.7323121,1279.870906,829.0633267,647.4023564,861.9188358
labeled-data,842.4819416,344.4445679,811.6799018,410.155586,721.3272519,424.5298712,1000.599079,344.4445679,1132.021115,360.8723224,1121.753769,245.8780406,850.6958189,588.8074166,934.8880609,597.0212939,1060.149689,804.4216949,678.2043962,668.89272,1279.870906,820.8494495,633.0280712,859.8653665
labeled-data,821.9472484,371.139669,811.6799018,465.5992576,709.006436,473.8131349,945.1554075,348.5515065,1076.577444,344.4445679,1060.149689,247.93151,830.1611257,592.9143553,899.9790825,607.2886405,1045.775404,802.3682256,669.9905189,660.6788427,1253.175805,820.8494495,635.0815405,861.9188358
labeled-data,821.9472484,406.0486474,840.4284723,525.1498678,735.7015371,576.4866007,743.9154144,344.4445679,622.7607246,286.947427,497.4990963,299.2682429,826.054187,586.7539473,817.8403098,599.0747632,904.0860211,835.2237347,698.7390894,670.9461893,1134.074585,861.9188358,635.0815405,853.7049586
labeled-data,838.375003,399.8882394,883.5513279,504.6151746,787.03827,582.6470087,690.5252121,352.6584451,550.8892985,416.315994,454.3762406,459.4388496,821.9472484,566.2192541,797.3056166,578.54007,869.1770427,818.7959802,711.0599053,662.7323121,1090.951729,861.9188358,633.0280712,849.5980199
labeled-data,809.6264325,377.300077,895.8721438,492.2943587,813.7333711,574.4331314,663.830111,381.4070156,583.7448076,492.2943587,528.301136,586.7539473,836.3215336,531.3102757,778.8243928,553.8984382,836.3215336,798.261287,715.1668439,683.2670052,1074.523974,831.1167961,639.1884792,847.5445506
labeled-data,799.3590859,360.8723224,912.2998984,422.4764019,883.5513279,555.9519076,647.4023564,391.6743622,637.1350099,572.3796621,692.5786814,648.3580268,832.214595,492.2943587,737.7550064,525.1498678,821.9472484,771.5661859,723.3807212,681.2135359,1058.09622,755.1384313,635.0815405,855.7584279
labeled-data,787.03827,344.4445679,877.39092,354.7119145,918.4603063,486.1339508,641.2419485,406.0486474,702.846028,549.7914996,824.0007177,580.5935394,807.5729632,469.7061962,737.7550064,479.9735428,803.4660246,730.4967995,737.7550064,703.8016984,1023.187242,619.6094564,647.4023564,853.7049586
labeled-data,797.3056166,328.0168133,852.7492882,321.8564054,910.2464291,475.8666042,647.4023564,360.8723224,692.5786814,508.7221133,791.1452087,547.7380303,803.4660246,469.7061962,696.6856201,471.7596655,727.4876598,656.5719041,731.5945985,691.4808825,852.7492882,463.5457883,655.6162337,863.9723051
labeled-data,807.5729632,315.6959974,875.3374507,336.2306906,891.7652052,465.5992576,655.6162337,325.963344,663.830111,475.8666042,754.1827609,549.7914996,811.6799018,449.1715031,680.2578655,447.1180337,690.5252121,631.9302723,737.7550064,693.5343518,768.5570462,436.8506872,651.5092951,861.9188358
labeled-data,819.8937791,297.2147736,893.8186745,358.8188531,889.7117359,475.8666042,665.8835803,299.2682429,622.7607246,449.1715031,624.814194,566.2192541,811.6799018,457.3853803,680.2578655,420.4229326,602.2260315,582.6470087,729.5411291,681.2135359,602.2260315,473.8131349,643.2954178,861.9188358
