scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
labeled-data,873.5511635,315.6599019,801.9248513,415.6035934,715.3069854,462.2439827,818.5821332,383.9547577,781.936113,513.8815566,738.62718,620.4881608,961.8347576,502.2214593,928.5201938,512.2158284,768.6102875,647.1398118,888.5427172,618.8224326,785.2675694,830.3699128,848.5652406,722.0975804
labeled-data,916.8600964,320.6570865,855.2281534,388.9519423,781.936113,427.2636907,868.5539789,358.9688349,818.5821332,458.9125263,770.2760157,562.1876741,993.4835932,508.884372,941.8460193,518.8787412,795.2619385,655.4684528,975.1605831,623.8196172,790.2647539,828.7041846,958.5033012,703.7745703
labeled-data,958.5033012,330.6514557,930.1859219,350.6401939,900.2028145,407.2749524,898.5370863,355.6373785,855.2281534,393.9491269,795.2619385,487.2299056,1005.143691,522.2101976,953.5061166,527.2073821,825.2450459,675.4571911,1028.463885,628.8168017,796.9276667,823.707,1040.123983,708.7717549
labeled-data,996.8150496,325.6542711,1050.118352,325.6542711,988.4864086,330.6514557,936.8488347,323.9885429,940.1802911,315.6599019,843.568056,382.2890296,1048.452623,542.1989358,968.4976703,543.864664,866.8882507,695.4459294,1081.767187,628.8168017,805.2563077,827.0384564,1113.416023,728.7604932
labeled-data,1095.093013,342.311553,1201.699617,387.2862141,1195.036704,382.2890296,1015.13806,360.6345631,968.4976703,388.9519423,911.8629118,282.3453381,1073.438546,558.8562177,1000.146506,552.193305,920.1915528,705.4402985,1138.401946,623.8196172,808.587764,810.3811745,1153.393499,760.4093288
labeled-data,1175.047966,410.6064088,1210.028258,522.2101976,1261.665832,500.5557311,1041.789711,363.9660195,948.508932,343.9772812,951.8403884,303.9998046,1095.093013,563.8534023,1035.126798,535.5360231,921.857281,688.7830166,1176.713694,628.8168017,810.2534922,763.7407852,1168.385053,755.4121442
labeled-data,1183.376607,448.9181572,1161.72214,568.8505869,1245.00855,562.1876741,1128.407577,367.2974758,1090.095828,328.9857275,1105.087382,289.0082509,1090.095828,545.5303922,1041.789711,523.8759257,965.1662139,695.4459294,1176.713694,628.8168017,855.2281534,720.4318522,1168.385053,762.075057
labeled-data,1183.376607,442.2552444,1090.095828,508.884372,1168.385053,567.1848587,1180.045151,388.9519423,1228.351268,503.8871875,1288.317483,567.1848587,1081.767187,517.213013,1058.446993,498.8900029,1023.466701,653.8027246,1138.401946,638.8111709,905.1999991,693.7802012,1161.72214,757.0778724
labeled-data,1188.373791,433.9266035,1085.098644,477.2355364,1145.064859,557.1904896,1213.359714,440.5895162,1218.356899,525.5416539,1266.663016,588.8393252,1081.767187,510.5501002,1048.452623,482.232721,1021.800972,638.8111709,1123.410392,635.4797145,915.1943682,682.1201038,1163.387869,762.075057
labeled-data,1181.710879,388.9519423,1063.444177,362.3002913,1076.770003,452.2496136,1241.677094,462.2439827,1181.710879,520.5444694,1131.739033,522.2101976,1106.75311,492.2270901,1080.101459,470.5726237,1006.809419,610.4937917,1148.396315,625.4853454,895.2056299,560.5219459,1165.053597,763.7407852
labeled-data,1173.382238,373.9603886,1063.444177,343.9772812,1073.438546,435.5923317,1255.002919,437.2580598,1186.708063,515.5472848,1113.416023,527.2073821,1095.093013,490.5613619,1101.755926,487.2299056,1005.143691,600.4994225,1150.062043,627.1510736,900.2028145,512.2158284,1156.724956,753.746416
labeled-data,1243.342822,358.9688349,1250.005735,452.2496136,1250.005735,542.1989358,1145.064859,340.6458248,1041.789711,373.9603886,1088.4301,443.9209726,1116.747479,478.9012646,1140.067674,470.5726237,1078.435731,538.8674795,1146.730587,620.4881608,995.1493214,508.884372,1150.062043,755.4121442
